gene_id,true_log2fc,is_de,direction
GENE_9001,1.9910706763000365,1,up
GENE_9002,2.656033880143646,1,up
GENE_9003,1.7958775856299938,1,up
GENE_9004,1.4761413013105964,1,up
GENE_9005,1.5251353513174928,1,up
GENE_9006,1.8310523458955772,1,up
GENE_9007,2.0085033416070166,1,up
GENE_9008,2.3485065287279006,1,up
GENE_9009,2.3560479251197193,1,up
GENE_9010,2.553374643514426,1,up
GENE_9011,2.3620355358016187,1,up
GENE_9012,1.5145000878818073,1,up
GENE_9013,-2.4824966112425475,1,down
GENE_9014,-2.3165005162569274,1,down
GENE_9015,-1.4790984097499884,1,down
GENE_9016,-2.375848154375246,1,down
GENE_9017,-2.095402690253273,1,down
GENE_9018,-2.0241017656125626,1,down
GENE_9019,-1.5673995625255879,1,down
GENE_9020,-1.762244985099159,1,down
GENE_9021,-2.194616057113535,1,down
GENE_9022,-2.1469057902082183,1,down
GENE_9023,-1.30659040357476,1,down
GENE_9024,0.16684407874522467,0,none
GENE_9025,0.11984238588439639,0,none
GENE_9026,-0.343899305225053,0,none
GENE_9027,0.2804089072989252,0,none
GENE_9028,0.1273195262029047,0,none
GENE_9029,0.1201875550217611,0,none
GENE_9030,0.19105479128163583,0,none
GENE_9031,-0.03470576429671929,0,none
GENE_9032,-0.1885454915189012,0,none
GENE_9033,-0.13407319489294273,0,none
GENE_9034,-0.3466738807977346,0,none
GENE_9035,0.14307726000635185,0,none
GENE_9036,-0.3325336034962864,0,none
GENE_9037,-0.253043860267107,0,none
GENE_9038,0.24467175810985564,0,none
GENE_9039,-0.15923301542439655,0,none
GENE_9040,0.2844475777549019,0,none
GENE_9041,-0.0685480046272618,0,none
GENE_9042,0.21145224811477525,0,none
GENE_9043,-0.29678599021409463,0,none
GENE_9044,-0.06468574122768855,0,none
GENE_9045,0.04225564648513569,0,none
GENE_9046,-0.26544841022166416,0,none
GENE_9047,0.34287455327796657,0,none
GENE_9048,-0.3041620026609306,0,none
GENE_9049,0.12034690070870568,0,none
GENE_9050,-0.19740838012998746,0,none
GENE_9051,0.25238431304830855,0,none
GENE_9052,-0.10056179561662698,0,none
GENE_9053,0.11475465532069923,0,none
GENE_9054,-0.0951054090492281,0,none
GENE_9055,0.04939696016891382,0,none
GENE_9056,-0.2555601394132327,0,none
GENE_9057,-0.03713451153730485,0,none
GENE_9058,0.17626012396404112,0,none
GENE_9059,-0.0069242808481843054,0,none
GENE_9060,-0.23192928078474656,0,none
