gene_id,true_log2fc,is_de,direction
GENE_10001,1.921385381147919,1,up
GENE_10002,1.445093411906628,1,up
GENE_10003,1.725404992747347,1,up
GENE_10004,1.6793740830352806,1,up
GENE_10005,1.831553791707478,1,up
GENE_10006,2.4440150682621162,1,up
GENE_10007,2.3536128839294106,1,up
GENE_10008,2.233145674906059,1,up
GENE_10009,1.5585907864944049,1,up
GENE_10010,2.020064431661657,1,up
GENE_10011,1.985514869706754,1,up
GENE_10012,1.8544072433566499,1,up
GENE_10013,-1.4350642587734925,1,down
GENE_10014,-1.8817129306602,1,down
GENE_10015,-1.5749784245389562,1,down
GENE_10016,-2.12545935184335,1,down
GENE_10017,-2.1545493550059778,1,down
GENE_10018,-1.4711983562250457,1,down
GENE_10019,-1.4022596523568296,1,down
GENE_10020,-1.5728046631106682,1,down
GENE_10021,-1.797597142856217,1,down
GENE_10022,-1.4391801738049468,1,down
GENE_10023,-1.5694886629832148,1,down
GENE_10024,-0.0911358477979391,0,none
GENE_10025,0.14059984490256033,0,none
GENE_10026,-0.20601457398023287,0,none
GENE_10027,0.10374428939042579,0,none
GENE_10028,0.18361862302916254,0,none
GENE_10029,0.17106113904467835,0,none
GENE_10030,-0.09627443728111118,0,none
GENE_10031,-0.26181720303320904,0,none
GENE_10032,0.1798562390033529,0,none
GENE_10033,0.2048178668965721,0,none
GENE_10034,-0.01897567401678607,0,none
GENE_10035,-0.22042229107652409,0,none
GENE_10036,0.1351477857915605,0,none
GENE_10037,0.2887086572439571,0,none
GENE_10038,-0.016760006060799082,0,none
GENE_10039,-0.14975471115955005,0,none
GENE_10040,-0.10356977560809408,0,none
GENE_10041,-0.22725651193557675,0,none
GENE_10042,-0.19853698348361437,0,none
GENE_10043,-0.1884221864620561,0,none
GENE_10044,-0.056809123437828846,0,none
GENE_10045,0.02493159630131192,0,none
GENE_10046,0.009184684723929581,0,none
GENE_10047,-0.21234447272809998,0,none
GENE_10048,0.2498409883107573,0,none
GENE_10049,0.1303512004082123,0,none
GENE_10050,0.289033711974074,0,none
GENE_10051,0.028794863346715383,0,none
GENE_10052,0.27611828113649883,0,none
GENE_10053,-0.3349023340370496,0,none
GENE_10054,0.05141202162187991,0,none
GENE_10055,-0.10243327312071873,0,none
GENE_10056,0.22970064317621663,0,none
GENE_10057,0.21385792167453022,0,none
GENE_10058,0.041237037460249704,0,none
GENE_10059,-0.12502959280973674,0,none
GENE_10060,-0.19716808534271568,0,none
